day,date,start,start_local,finish_local,stores,drive_km,drive_hours,ferry_km,accommodation
1,2026-07-30,Bunnings Kingston Warehouse,2026-07-30T00:00:00+10:00,2026-07-30T15:34:17+10:00,5,331.443,4.071,0.0,Argosy Motor Inn
2,2026-07-31,Argosy Motor Inn,2026-07-31T09:00:00+10:00,2026-07-31T11:09:25+10:00,2,96.289,1.157,450.554,Spirit of Tasmania passenger cabin
3,2026-08-01,"Spirit of Tasmania, Geelong Terminal",2026-08-01T07:16:36+10:00,2026-08-01T15:19:36+10:00,7,135.22,2.827,0.0,Apple House
4,2026-08-02,Apple House,2026-08-02T09:00:00+10:00,2026-08-02T15:02:04+10:00,8,61.707,2.034,0.0,Rambla @ Solarino House
5,2026-08-03,Rambla @ Solarino House,2026-08-03T09:00:00+10:00,2026-08-03T15:16:20+10:00,8,80.533,2.272,0.0,Bell Motel
6,2026-08-04,Bell Motel,2026-08-04T09:00:00+10:00,2026-08-04T15:41:46+10:00,9,81.13,2.196,0.0,Rydges Ringwood
7,2026-08-05,Rydges Ringwood,2026-08-05T09:00:00+10:00,2026-08-05T15:20:47+10:00,9,66.061,1.846,0.0,Quest Cheltenham
8,2026-08-06,Quest Cheltenham,2026-08-06T09:00:00+10:00,2026-08-06T15:35:06+10:00,9,92.107,2.085,0.0,Nightelier Carrum Downs (Sands Hotel)
9,2026-08-07,Nightelier Carrum Downs (Sands Hotel),2026-08-07T09:00:00+10:00,2026-08-07T15:45:16+10:00,6,256.739,3.754,0.0,Warragul Views Motor Inn
10,2026-08-08,Warragul Views Motor Inn,2026-08-08T09:00:00+10:00,2026-08-08T15:11:08+10:00,4,326.77,4.186,0.0,Benambra Hotel - High Country Pub
11,2026-08-09,Benambra Hotel - High Country Pub,2026-08-09T09:00:00+10:00,2026-08-09T15:13:21+10:00,3,336.553,4.723,0.0,Bundalong Riverside Resort
12,2026-08-10,Bundalong Riverside Resort,2026-08-10T09:00:00+10:00,2026-08-10T15:49:41+10:00,5,324.5,4.328,0.0,Toolleen Hotel & Tin Shed
13,2026-08-11,Toolleen Hotel & Tin Shed,2026-08-11T09:00:00+10:00,2026-08-11T15:13:43+10:00,6,211.704,3.229,0.0,Sunbury Motor Inn
