day,kind,name,start_local,end_local,timezone,end_timezone,start_utc,end_utc,duration_s,distance_m,from_id,to_id,place_id,route_id,notes,purpose,overnight_accommodation,engine_on
1,visit,Bunnings Kingston Warehouse,2027-01-04T09:00:00+11:00,2027-01-04T09:30:00+11:00,Australia/Hobart,Australia/Hobart,2027-01-03T22:00:00+00:00,2027-01-03T22:30:00+00:00,1800,,4457,4457,4457,,Minimum 30-minute site visit; shop opening hours are not enforced.,,,
1,drive,Bunnings Mornington TAS Warehouse,2027-01-04T09:30:00+11:00,2027-01-04T09:54:07+11:00,Australia/Hobart,Australia/Hobart,2027-01-03T22:30:00+00:00,2027-01-03T22:54:07+00:00,1447.0,22740,4457,4467,4467,5ade220a381bde7898616bb1,,,,
1,visit,Bunnings Mornington TAS Warehouse,2027-01-04T09:54:07+11:00,2027-01-04T10:24:07+11:00,Australia/Hobart,Australia/Hobart,2027-01-03T22:54:07+00:00,2027-01-03T23:24:07+00:00,1800,,4467,4467,4467,,Minimum 30-minute site visit; shop opening hours are not enforced.,,,
1,drive,Bunnings Glenorchy Warehouse,2027-01-04T10:24:07+11:00,2027-01-04T10:41:00+11:00,Australia/Hobart,Australia/Hobart,2027-01-03T23:24:07+00:00,2027-01-03T23:41:00+00:00,1013.0,12549,4467,4455,4455,fcfb776b68f78c40e06a922c,,,,
1,visit,Bunnings Glenorchy Warehouse,2027-01-04T10:41:00+11:00,2027-01-04T11:11:00+11:00,Australia/Hobart,Australia/Hobart,2027-01-03T23:41:00+00:00,2027-01-04T00:11:00+00:00,1800,,4455,4455,4455,,Minimum 30-minute site visit; shop opening hours are not enforced.,,,
1,drive,Bunnings Kings Meadows Warehouse,2027-01-04T11:11:00+11:00,2027-01-04T13:14:42+11:00,Australia/Hobart,Australia/Hobart,2027-01-04T00:11:00+00:00,2027-01-04T02:14:42+00:00,7422.0,188997,4455,4422,4422,63ff2bf90274eecdb13390ad,,,,
1,visit,Bunnings Kings Meadows Warehouse,2027-01-04T13:14:42+11:00,2027-01-04T13:44:42+11:00,Australia/Hobart,Australia/Hobart,2027-01-04T02:14:42+00:00,2027-01-04T02:44:42+00:00,1800,,4422,4422,4422,,Minimum 30-minute site visit; shop opening hours are not enforced.,,,
1,drive,Bunnings North Launceston Warehouse,2027-01-04T13:44:42+11:00,2027-01-04T13:56:28+11:00,Australia/Hobart,Australia/Hobart,2027-01-04T02:44:42+00:00,2027-01-04T02:56:28+00:00,706.0,7943,4422,4466,4466,b72a0f1a83ccd6679093e9a9,,,,
1,visit,Bunnings North Launceston Warehouse,2027-01-04T13:56:28+11:00,2027-01-04T14:26:28+11:00,Australia/Hobart,Australia/Hobart,2027-01-04T02:56:28+00:00,2027-01-04T03:26:28+00:00,1800,,4466,4466,4466,,Minimum 30-minute site visit; shop opening hours are not enforced.,,,
1,drive,Argosy Motor Inn,2027-01-04T14:26:28+11:00,2027-01-04T15:34:17+11:00,Australia/Hobart,Australia/Hobart,2027-01-04T03:26:28+00:00,2027-01-04T04:34:17+00:00,4069.0,99214,4466,ChIJk9XtA28zeqoRnRUPV0svae8,ChIJk9XtA28zeqoRnRUPV0svae8,197e90a23ae8ac4f000ce175,,,,
